,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,mol_id,num_atoms,xtb_rmsd,aimnet_rmsd,xtb_runtime,egret_runtime,egret_rmsd
0,0,0,0,20180169,40,0.2414383106329617,0.1219312768221749,15.357,237.0,0.001837496748529915
1,1,1,1,20167551,41,0.1505991816876962,0.1518426014541508,18.821,321.0,0.002953024799190831
2,2,2,2,2553,62,0.1918878375504019,0.0788820917977391,9.856,494.0,0.002486841922580112
3,3,3,3,20175756,44,0.5039764097791941,0.21559741758703,29.029,162.0,0.0018726848731264332
4,4,4,4,20168423,28,0.3225891739120466,0.0597088770288586,15.68,281.0,0.002721243717581105
5,5,5,5,20050052,21,0.0217472443054255,0.0054882121121506,10.49,92.0,0.0017234935065974547
6,6,6,6,10025157,34,0.3555683668576357,0.0158848643799858,14.432,138.0,0.0019990125022040896
7,7,7,7,20201377,26,0.0296666789458362,0.0055939842242515,8.544,157.0,0.002119405966517512
8,8,8,8,20177003,41,0.1123740160989257,0.1180433037717058,11.285,583.0,0.006300557571169941
9,9,9,9,75426,22,0.2521467225358771,0.0093065502222948,4.943,200.0,0.0019463352620868609
10,10,10,10,20041086,46,0.2548065328546546,0.1310669468259757,16.079,290.0,0.0021422844094303845
11,11,11,11,20026468,35,0.3285150741468264,0.0564325181190493,15.888,222.0,0.002362126408786721
12,12,12,12,10025944,44,0.1221260764983688,0.1852278569593019,20.902,883.0,0.012282311008263158
13,13,13,13,10024872,24,0.1277696857928611,0.0152753651869767,8.473,158.0,0.0018266439995415797
14,14,14,14,20176926,45,1.2112952773209056,0.1753056905865486,20.925,551.0,0.005301545794799524
15,15,15,15,20200187,46,0.8795773874794931,0.1479024904429957,34.096,307.0,0.002275957580686141
16,16,16,16,20169174,41,0.3913972873074341,0.0374664859117146,21.203,923.0,0.02127416059360387
17,17,17,17,20165113,44,0.2441292847185153,0.1251749120782973,76.309,610.0,0.00425974690397873
18,18,18,18,10023879,30,0.0830954414969488,0.1577652970488475,11.188,336.0,0.0030883187136350938
19,19,19,19,20250952,59,0.2228656969493275,0.1481804142874735,8.972,1404.0,0.02226964339120512
20,20,20,20,20201401,41,1.0552579006880078,0.1660108719834212,45.144,269.0,0.002163024071273282
21,21,21,21,20177775,50,0.0899440705656893,0.0364201790899446,18.145,242.0,0.0016022007548082244
22,22,22,22,89256,20,0.4792305702160305,0.0361747203436993,7.413,171.0,0.0025026821421239736
23,23,23,23,30100579,23,0.0410145919656902,0.0392161344390198,4.483,208.0,0.002609335035858718
24,24,24,24,10024061,50,0.7589328633660894,0.0454993138952784,24.339,260.0,0.001939253127726843
25,25,25,25,20168880,25,0.8588475317582623,0.078914249628985,20.214,211.0,0.0034665699816553543
